# Species Scorer Output 
#  Time [ps]    Gx(/100 eV)            RMS      Gx(#Mols)            Molecule
     7564.63              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     9111.63              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
       10000              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
       10975              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     13219.4              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     15922.8              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     19179.1              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     23101.3              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     27825.6              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
       33516              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     40370.2              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
       48626              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     58570.2              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
       70548              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
     84975.3              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
      100000              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
      102353              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
      123285              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
      148497              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
      178865          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      215443          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      259502          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      312572          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      376494          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      453488          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      546228          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      657933          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      792483          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
      954548          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
       1e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 1.14976e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 1.38489e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
  1.6681e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 2.00923e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 2.42013e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 2.91505e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 3.51119e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 4.22924e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 5.09414e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 6.13591e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 7.39072e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 8.90215e+06          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
       1e+07          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 1.07227e+07          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 1.29155e+07          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 1.55568e+07          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 1.87382e+07          0.004      0.0126491            0.1   DNA_DamagedDeoxyribose_H4_OH^0
 2.25702e+07          0.008      0.0168655            0.2   DNA_DamagedDeoxyribose_H4_OH^0
 2.71859e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
 3.27455e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
 3.94421e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
 4.75081e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
 5.72237e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
 6.89261e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
 8.30218e+07          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
       1e+08          0.012      0.0269979            0.3   DNA_DamagedDeoxyribose_H4_OH^0
       1e+08              0              0              0   DNA_DamagedDeoxyribose_H4_OH^0
           1              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
      1.2045              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     1.45083              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     1.74753              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
      2.1049              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     2.53536              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     3.05386              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     3.67838              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     4.43062              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
      5.3367              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     6.42807              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     7.74264              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     9.32603              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
          10              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     11.2332              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     13.5305              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
