# Species Scorer Output 
#  Time [ps]    Gx(/100 eV)            RMS      Gx(#Mols)            Molecule
      954548            1.8       0.192296             45               H3O^1
       1e+06          1.784       0.198841           44.6               H3O^1
 1.14976e+06          1.752       0.218113           43.8               H3O^1
 1.38489e+06          1.732       0.224737           43.3               H3O^1
  1.6681e+06          1.692       0.232513           42.3               H3O^1
 2.00923e+06          1.664       0.249586           41.6               H3O^1
 2.42013e+06          1.644       0.276132           41.1               H3O^1
 2.91505e+06          1.632       0.273122           40.8               H3O^1
 3.51119e+06          1.596       0.284378           39.9               H3O^1
 4.22924e+06          1.548       0.273285           38.7               H3O^1
